Store,Area,Zone,Sku,Qty
071,02,202,767624,0001
071,02,202,767624,0001
071,02,202,767624,0001
071,02,202,767624,0001
071,02,202,772087,0001
071,02,202,772087,0001
071,02,202,989335,0001
071,02,202,989335,0001
071,02,202,772145,0001
071,02,202,772145,0001
071,02,202,772145,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767541,0001
071,02,202,767624,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989442,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,203,989376,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989442,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989376,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
071,02,204,989038,0001
